TYPEID,SHIPID,LIM,LON,LAT,SOG,TRUEHEAD,COG,A,B,C,D
1,205387000,20180102225911,74197560,22411969,74,324,3200,1,1,1,1
1,205387000,20180102225921,74197400,22412130,74,324,3200,1,1,1,1
1,205387000,20180102230031,74196260,22413190,74,324,3200,1,1,1,1
1,205387000,20180102230300,74193690,22415610,74,320,3170,1,1,1,1
1,205387000,20180102230811,74188000,22420230,74,320,3150,1,1,1,1
1,205387000,20180102231131,74184370,22423139,74,320,3140,1,1,1,1
1,205387000,20180102231151,74184000,22423440,74,320,3140,1,1,1,1
1,205387000,20180102231159,74183860,22423560,74,319,3140,1,1,1,1
1,205387000,20180102231210,74183650,22423720,74,319,3150,1,1,1,1
1,205387000,20180102231231,74183290,22424020,74,319,3150,1,1,1,1
1,205387000,20180102231241,74183100,22424160,75,319,3140,1,1,1,1
1,205387000,20180102231251,74182880,22424340,75,319,3140,1,1,1,1
1,205387000,20180102231300,74182730,22424460,75,319,3140,1,1,1,1
1,205387000,20180102231310,74182540,22424610,75,319,3140,1,1,1,1
1,205387000,20180102231331,74182130,22424930,75,319,3140,1,1,1,1
1,205387000,20180102231359,74181640,22425330,75,320,3140,1,1,1,1
1,205387000,20180102231410,74181420,22425510,75,320,3140,1,1,1,1
1,205387000,20180102231420,74181240,22425660,75,320,3140,1,1,1,1
1,205387000,20180102231441,74180890,22425940,75,319,3150,1,1,1,1
1,205387000,20180102231451,74180710,22426090,75,319,3140,1,1,1,1
1,205387000,20180102231459,74180520,22426240,75,319,3140,1,1,1,1
1,205387000,20180102231520,74180170,22426520,75,319,3140,1,1,1,1
1,205387000,20180102231531,74179940,22426690,75,319,3140,1,1,1,1
1,205387000,20180102231541,74179760,22426840,75,319,3140,1,1,1,1
1,205387000,20180102231549,74179610,22426960,75,319,3140,1,1,1,1
1,205387000,20180102231559,74179410,22427110,75,319,3140,1,1,1,1
1,205387000,20180102231610,74179210,22427260,75,319,3140,1,1,1,1
1,205387000,20180102231631,74178780,22427590,75,319,3140,1,1,1,1
1,205387000,20180102231649,74178440,22427860,75,319,3140,1,1,1,1
1,205387000,20180102231749,74177300,22428730,75,318,3130,1,1,1,1
1,205387000,20180102231849,74176160,22429559,75,317,3120,1,1,1,1
1,205387000,20180102231900,74175970,22429700,75,317,3120,1,1,1,1
1,205387000,20180102231931,74175370,22430140,75,317,3110,1,1,1,1
1,205387000,20180102232059,74173620,22431370,75,318,3110,1,1,1,1
1,205387000,20180102232111,74173390,22431540,75,318,3110,1,1,1,1
1,205387000,20180102232211,74172230,22432370,75,318,3120,1,1,1,1
1,205387000,20180102232220,74172040,22432510,75,318,3120,1,1,1,1
1,205387000,20180102232231,74171850,22432650,75,318,3110,1,1,1,1
1,205387000,20180102232251,74171460,22432930,75,318,3120,1,1,1,1
1,205387000,20180102232311,74171040,22433250,75,318,3120,1,1,1,1
1,205387000,20180102232331,74170650,22433530,75,318,3120,1,1,1,1
1,205387000,20180102232351,74170260,22433810,75,318,3120,1,1,1,1
1,205387000,20180102232411,74169890,22434080,75,318,3120,1,1,1,1
1,205387000,20180102232451,74169130,22434620,75,318,3110,1,1,1,1
1,205387000,20180102232501,74168940,22434760,75,318,3110,1,1,1,1
1,205387000,20180102232541,74168160,22435330,75,318,3110,1,1,1,1
3,205387000,20180102232631,74167200,22436040,75,318,3120,1,1,1,1
1,205387000,20180102232639,74167000,22436180,75,318,3120,1,1,1,1
1,205387000,20180102232701,74166610,22436470,75,318,3120,1,1,1,1
1,205387000,20180102232731,74165990,22436920,75,318,3120,1,1,1,1
1,205387000,20180102232750,74165640,22437170,75,318,3120,1,1,1,1
1,205387000,20180102232831,74164870,22437740,75,318,3120,1,1,1,1
1,205387000,20180102232850,74164480,22438020,75,318,3120,1,1,1,1
1,205387000,20180102232921,74163890,22438440,75,318,3110,1,1,1,1
1,205387000,20180102232931,74163700,22438580,75,318,3120,1,1,1,1
1,205387000,20180102232939,74163540,22438690,75,318,3110,1,1,1,1
1,205387000,20180102233001,74163100,22439000,75,318,3110,1,1,1,1
1,205387000,20180102233021,74162730,22439270,75,318,3110,1,1,1,1
1,205387000,20180102233031,74162530,22439410,75,318,3110,1,1,1,1
1,205387000,20180102233050,74162140,22439690,75,318,3110,1,1,1,1
1,205387000,20180102233110,74161750,22439970,75,318,3110,1,1,1,1
1,205387000,20180102233131,74161320,22440270,75,318,3110,1,1,1,1
1,205387000,20180102233150,74160980,22440530,74,318,3120,1,1,1,1
1,205387000,20180102233210,74160610,22440790,75,318,3110,1,1,1,1
1,205387000,20180102233231,74160180,22441110,75,318,3110,1,1,1,1
1,205387000,20180102233250,74159830,22441360,75,318,3120,1,1,1,1
1,205387000,20180102233301,74159600,22441520,75,318,3110,1,1,1,1
1,205387000,20180102233331,74159030,22441930,75,318,3120,1,1,1,1
1,205387000,20180102233340,74158840,22442070,75,318,3110,1,1,1,1
1,205387000,20180102233409,74158290,22442480,75,319,3120,1,1,1,1
1,205387000,20180102233501,74157300,22443230,74,320,3130,1,1,1,1
1,205387000,20180102233520,74156940,22443500,74,320,3140,1,1,1,1
1,205387000,20180102233530,74156760,22443650,74,320,3140,1,1,1,1

